latitude,longitude,score
37.68,-122.48,94.0
37.71,-122.47,98.0
37.71,-122.44,89.5
37.72,-122.47,85.0
37.72,-122.45,95.0
37.72,-122.44,93.27272727272727
37.72,-122.43,100.0
37.72,-122.42,100.0
37.73,-122.49,96.0
37.73,-122.48,99.0
37.73,-122.46,94.0
37.73,-122.45,98.0
37.73,-122.43,93.75
37.73,-122.4,81.0
37.73,-122.39,85.5
37.74,-122.5,85.75
37.74,-122.48,89.0
37.74,-122.45,86.0
37.74,-122.44,93.0
37.74,-122.43,96.0
37.74,-122.42,91.9090909090909
37.74,-122.41,90.0
37.74,-122.4,82.0
37.74,-122.39,92.5
37.75,-122.5,98.0
37.75,-122.49,92.0
37.75,-122.48,83.0
37.75,-122.43,92.0
37.75,-122.42,89.2
37.75,-122.41,84.0
37.75,-122.39,88.5
37.76,-122.51,84.0
37.76,-122.5,95.0
37.76,-122.49,86.5
37.76,-122.48,93.25
37.76,-122.47,87.8
37.76,-122.46,81.6
37.76,-122.45,87.5
37.76,-122.44,89.0
37.76,-122.43,91.66666666666667
37.76,-122.42,92.875
37.76,-122.41,93.25
37.76,-122.4,92.33333333333333
37.76,-122.39,97.5
37.77,-122.47,81.66666666666667
37.77,-122.45,93.28571428571429
37.77,-122.44,98.0
37.77,-122.43,73.0
37.77,-122.42,87.0
37.77,-122.41,93.1
37.77,-122.4,92.4
37.77,-122.39,97.0
37.78,-122.51,96.0
37.78,-122.5,92.0
37.78,-122.49,98.0
37.78,-122.48,90.66666666666667
37.78,-122.47,94.0
37.78,-122.46,91.33333333333333
37.78,-122.45,93.5
37.78,-122.44,97.33333333333333
37.78,-122.43,95.8
37.78,-122.42,89.8
37.78,-122.41,88.73333333333333
37.78,-122.4,92.70370370370371
37.78,-122.39,92.28571428571429
37.79,-122.46,98.0
37.79,-122.44,92.8
37.79,-122.43,94.45454545454545
37.79,-122.42,91.85714285714286
37.79,-122.41,88.5
37.79,-122.4,91.5625
37.79,-122.39,96.75
37.8,-122.44,91.6
37.8,-122.43,98.0
37.8,-122.42,92.2
37.8,-122.41,82.0
37.8,-122.4,87.1
37.8,-122.39,97.27272727272727
37.81,-122.42,91.0
37.81,-122.41,91.66666666666667
