business_id,date
54,2013-10
96,2013-10
56,2013-10
94,2013-10
58,2013-10
61,2013-10
92,2013-10
101,2013-10
100,2013-10
180,2013-10
91,2013-10
180,2013-10
216,2013-10
100,2013-10
258,2013-10
94,2013-10
328,2013-10
92,2013-10
389,2013-10
100,2013-10
423,2013-10
431,2013-10
98,2013-10
447,2013-10
94,2013-10
489,2013-10
489,2013-10
639,2013-10
96,2013-10
642,2013-10
100,2013-10
659,2013-10
86,2013-10
768,2013-10
94,2013-10
840,2013-10
72,2013-10
840,2013-10
840,2013-10
935,2013-10
968,2013-10
85,2013-10
968,2013-10
984,2013-10
92,2013-10
985,2013-10
74,2013-10
1031,2013-10
1125,2013-10
91,2013-10
1135,2013-10
100,2013-10
1154,2013-10
96,2013-10
1199,2013-10
100,2013-10
1261,2013-10
81,2013-10
1261,2013-10
1282,2013-10
1289,2013-10
92,2013-10
1294,2013-10
90,2013-10
1304,2013-10
84,2013-10
1565,2013-10
87,2013-10
1565,2013-10
1568,2013-10
92,2013-10
1595,2013-10
71,2013-10
1596,2013-10
1609,2013-10
1652,2013-10
100,2013-10
1673,2013-10
100,2013-10
1674,2013-10
1724,2013-10
92,2013-10
1777,2013-10
87,2013-10
1778,2013-10
90,2013-10
1778,2013-10
1856,2013-10
93,2013-10
1882,2013-10
96,2013-10
1930,2013-10
90,2013-10
1994,2013-10
88,2013-10
2002,2013-10
100,2013-10
2008,2013-10
90,2013-10
2066,2013-10
2106,2013-10
2109,2013-10
88,2013-10
2115,2013-10
88,2013-10
2165,2013-10
94,2013-10
2189,2013-10
75,2013-10
2189,2013-10
2266,2013-10
90,2013-10
2266,2013-10
2292,2013-10
2427,2013-10
2455,2013-10
100,2013-10
2472,2013-10
2483,2013-10
92,2013-10
2495,2013-10
2495,2013-10
2495,2013-10
2497,2013-10
89,2013-10
2542,2013-10
83,2013-10
2592,2013-10
100,2013-10
2599,2013-10
76,2013-10
2599,2013-10
2643,2013-10
2646,2013-10
89,2013-10
2646,2013-10
2684,2013-10
2684,2013-10
92,2013-10
2684,2013-10
2724,2013-10
2739,2013-10
2743,2013-10
90,2013-10
2773,2013-10
94,2013-10
2778,2013-10
91,2013-10
2785,2013-10
2785,2013-10
2785,2013-10
2785,2013-10
2871,2013-10
100,2013-10
2924,2013-10
90,2013-10
2924,2013-10
2925,2013-10
94,2013-10
2925,2013-10
2980,2013-10
96,2013-10
3029,2013-10
3046,2013-10
3055,2013-10
94,2013-10
3076,2013-10
100,2013-10
3082,2013-10
93,2013-10
3082,2013-10
3115,2013-10
83,2013-10
3115,2013-10
3122,2013-10
89,2013-10
3211,2013-10
96,2013-10
3237,2013-10
3237,2013-10
3267,2013-10
3286,2013-10
85,2013-10
3331,2013-10
88,2013-10
3350,2013-10
94,2013-10
3350,2013-10
3373,2013-10
90,2013-10
3373,2013-10
3429,2013-10
86,2013-10
3443,2013-10
88,2013-10
3445,2013-10
90,2013-10
3457,2013-10
88,2013-10
3485,2013-10
3488,2013-10
78,2013-10
3488,2013-10
3495,2013-10
3529,2013-10
3529,2013-10
76,2013-10
3529,2013-10
3640,2013-10
72,2013-10
3729,2013-10
82,2013-10
3741,2013-10
92,2013-10
3784,2013-10
94,2013-10
3825,2013-10
3825,2013-10
3825,2013-10
3825,2013-10
3859,2013-10
86,2013-10
3867,2013-10
3877,2013-10
3920,2013-10
92,2013-10
3982,2013-10
3982,2013-10
4025,2013-10
83,2013-10
4025,2013-10
4025,2013-10
4425,2013-10
92,2013-10
4438,2013-10
90,2013-10
4465,2013-10
92,2013-10
4479,2013-10
86,2013-10
4502,2013-10
4519,2013-10
96,2013-10
4531,2013-10
81,2013-10
4531,2013-10
4532,2013-10
94,2013-10
4533,2013-10
4538,2013-10
100,2013-10
4548,2013-10
92,2013-10
4586,2013-10
96,2013-10
4590,2013-10
4590,2013-10
76,2013-10
4592,2013-10
98,2013-10
4607,2013-10
80,2013-10
4607,2013-10
4621,2013-10
74,2013-10
4621,2013-10
4670,2013-10
72,2013-10
4671,2013-10
100,2013-10
4681,2013-10
100,2013-10
4685,2013-10
94,2013-10
4762,2013-10
92,2013-10
4798,2013-10
4803,2013-10
4803,2013-10
4828,2013-10
4843,2013-10
90,2013-10
4849,2013-10
96,2013-10
4859,2013-10
98,2013-10
4907,2013-10
77,2013-10
4922,2013-10
96,2013-10
4983,2013-10
4985,2013-10
98,2013-10
5019,2013-10
91,2013-10
5032,2013-10
100,2013-10
5038,2013-10
98,2013-10
5071,2013-10
5104,2013-10
100,2013-10
5136,2013-10
100,2013-10
5156,2013-10
94,2013-10
5297,2013-10
98,2013-10
5430,2013-10
5607,2013-10
5927,2013-10
100,2013-10
5942,2013-10
100,2013-10
5948,2013-10
5955,2013-10
100,2013-10
5969,2013-10
100,2013-10
6640,2013-10
6640,2013-10
94,2013-10
6734,2013-10
6913,2013-10
94,2013-10
6916,2013-10
90,2013-10
7085,2013-10
96,2013-10
7206,2013-10
96,2013-10
7211,2013-10
94,2013-10
7361,2013-10
7449,2013-10
98,2013-10
7530,2013-10
96,2013-10
7573,2013-10
96,2013-10
7573,2013-10
7575,2013-10
88,2013-10
7575,2013-10
7618,2013-10
90,2013-10
7643,2013-10
81,2013-10
7747,2013-10
7747,2013-10
7764,2013-10
98,2013-10
7857,2013-10
96,2013-10
8122,2013-10
96,2013-10
9163,2013-10
100,2013-10
9358,2013-10
100,2013-10
9553,2013-10
94,2013-10
9631,2013-10
86,2013-10
9631,2013-10
9745,2013-10
96,2013-10
10131,2013-10
10433,2013-10
89,2013-10
10433,2013-10
10931,2013-10
100,2013-10
11018,2013-10
90,2013-10
11304,2013-10
11835,2013-10
100,2013-10
13753,2013-10
78,2013-10
14740,2013-10
96,2013-10
14743,2013-10
94,2013-10
15055,2013-10
89,2013-10
15120,2013-10
96,2013-10
16329,2013-10
90,2013-10
16432,2013-10
90,2013-10
16513,2013-10
88,2013-10
16513,2013-10
16784,2013-10
100,2013-10
17933,2013-10
18047,2013-10
18330,2013-10
96,2013-10
18606,2013-10
96,2013-10
18805,2013-10
98,2013-10
18815,2013-10
