business_id,date,description,score,postal_code
10,2014-07-29,Insufficient hot water or running water,94,94104
10,2014-07-29,Unapproved or unmaintained equipment or utensils,94,94104
10,2014-01-14,Inadequate and inaccessible handwashing facilities,92,94104
10,2016-05-03,Unapproved or unmaintained equipment or utensils,82,94104
24,2014-11-24,Inadequate and inaccessible handwashing facilities,96,94104
31,2016-08-16,Inadequate and inaccessible handwashing facilities,84,94133
45,2013-12-09,Moderate risk food holding temperature,94,94110
45,2016-06-14,Unapproved or unmaintained equipment or utensils,84,94110
45,2016-06-14,Moderate risk vermin infestation,84,94110
54,2013-10-08,Moderate risk food holding temperature,96,94115
54,2014-03-25,Inadequate sewage or wastewater disposal,92,94115
54,2014-03-25,Moderate risk food holding temperature,92,94115
56,2016-08-02,Inadequate and inaccessible handwashing facilities,90,94131
56,2016-08-02,Unapproved or unmaintained equipment or utensils,90,94131
56,2015-12-22,Moderate risk food holding temperature,88,94131
56,2013-10-21,Unapproved or unmaintained equipment or utensils,94,94131
61,2013-10-28,Moderate risk food holding temperature,92,94133
61,2014-05-30,Unapproved or unmaintained equipment or utensils,94,94133
66,2014-11-19,Inadequate warewashing facilities or equipment,98,94122
66,2014-05-19,No hot water or running water,91,94122
73,2016-09-27,Moderate risk vermin infestation,92,94115
77,2014-06-12,Moderate risk food holding temperature,94,94104
77,2014-11-24,Unapproved or unmaintained equipment or utensils,96,94104
77,2016-03-11,Unapproved or unmaintained equipment or utensils,91,94104
95,2016-07-18,Moderate risk vermin infestation,86,94110
95,2016-07-18,Unapproved or unmaintained equipment or utensils,86,94110
95,2015-12-10,Moderate risk vermin infestation,88,94110
95,2014-05-06,Unapproved or unmaintained equipment or utensils,86,94110
95,2014-05-06,Insufficient hot water or running water,86,94110
98,2015-06-29,Moderate risk vermin infestation,94,94133
98,2014-03-24,Inadequate and inaccessible handwashing facilities,96,94133
102,2014-05-07,Unclean or unsanitary food contact surfaces,91,94102
108,2015-04-17,Unapproved or unmaintained equipment or utensils,94,94108
108,2013-11-05,Inadequate and inaccessible handwashing facilities,80,94108
108,2013-11-05,Unapproved  living quarters in food facility,80,94108
108,2013-11-05,Moderate risk vermin infestation,80,94108
116,2014-09-10,Moderate risk food holding temperature,96,94111
121,2015-10-20,Moderate risk vermin infestation,86,94108
121,2015-10-20,Inadequate and inaccessible handwashing facilities,86,94108
126,2015-12-01,Moderate risk vermin infestation,80,94133
126,2015-12-01,Unapproved or unmaintained equipment or utensils,80,94133
132,2014-06-25,Moderate risk food holding temperature,88,94111
132,2014-06-25,Inadequate and inaccessible handwashing facilities,88,94111
132,2015-02-25,Unapproved or unmaintained equipment or utensils,86,94111
132,2016-05-09,No hot water or running water,81,94111
132,2016-05-09,Inadequate and inaccessible handwashing facilities,81,94111
140,2014-07-09,Moderate risk food holding temperature,96,94104
140,2016-04-14,Inadequate and inaccessible handwashing facilities,85,94104
140,2013-11-22,Moderate risk food holding temperature,80,94104
