business_id,date
31,2016-08-16
31,2016-08-16
45,2016-06-14
45,2016-06-14
45,2016-06-14
56,2016-08-02
73,2016-09-27
95,2016-07-18
95,2016-07-18
98,2016-03-16
116,2016-05-27
132,2016-05-09
132,2016-05-09
140,2016-04-14
178,2016-06-23
178,2016-06-23
187,2016-05-11
192,2016-06-28
192,2016-06-28
217,2016-09-12
231,2016-03-01
234,2016-09-27
234,2016-05-03
234,2016-05-03
239,2016-05-25
239,2016-05-25
239,2016-05-25
239,2016-05-25
247,2016-05-03
247,2016-05-03
251,2016-06-16
253,2016-06-22
258,2016-09-22
258,2016-09-22
258,2016-09-22
258,2016-04-07
267,2016-07-21
267,2016-07-21
272,2016-05-17
273,2016-09-20
273,2016-09-20
273,2016-09-20
281,2016-06-06
290,2016-06-15
298,2016-04-08
299,2016-07-05
300,2016-04-13
300,2016-04-13
300,2016-04-13
300,2016-04-13
305,2016-05-18
320,2016-09-20
320,2016-09-20
320,2016-09-20
337,2016-05-20
337,2016-05-20
379,2016-06-10
379,2016-06-10
385,2016-07-08
386,2016-04-29
393,2016-07-22
393,2016-07-22
397,2016-09-09
403,2016-07-01
413,2016-08-30
413,2016-08-30
420,2016-05-13
420,2016-05-04
420,2016-05-04
420,2016-05-04
421,2016-05-20
422,2016-09-27
423,2016-09-01
428,2016-07-07
429,2016-06-02
430,2016-05-20
431,2016-05-25
436,2016-06-08
436,2016-06-08
436,2016-06-08
443,2016-03-16
462,2016-05-20
463,2016-07-06
463,2016-07-06
468,2016-05-11
468,2016-05-11
470,2016-09-20
477,2016-04-06
477,2016-04-06
479,2016-07-29
483,2016-05-05
489,2016-07-21
489,2016-03-08
489,2016-03-08
494,2016-05-12
494,2016-05-12
505,2016-06-07
505,2016-06-07
507,2016-03-24
510,2016-05-23
510,2016-05-23
519,2016-08-09
522,2016-07-06
529,2016-06-14
538,2016-09-28
538,2016-09-28
538,2016-09-28
538,2016-04-11
542,2016-02-24
551,2016-03-21
552,2016-05-16
558,2016-02-29
580,2016-08-29
588,2016-06-15
591,2016-06-15
591,2016-06-15
597,2016-02-29
597,2016-02-29
606,2016-05-18
606,2016-05-18
610,2016-08-19
615,2016-07-18
619,2016-05-25
625,2016-09-21
625,2016-09-21
639,2016-03-03
639,2016-03-03
642,2016-06-17
659,2016-04-29
659,2016-04-29
670,2016-09-14
691,2016-09-19
691,2016-09-19
695,2016-09-30
695,2016-04-04
703,2016-06-17
703,2016-06-17
703,2016-06-17
703,2016-06-17
741,2016-06-10
741,2016-06-10
744,2016-06-24
744,2016-06-24
758,2016-08-09
786,2016-08-22
792,2016-04-14
796,2016-05-23
796,2016-05-23
798,2016-05-12
798,2016-05-12
799,2016-06-08
821,2016-06-06
824,2016-06-02
824,2016-06-02
827,2016-06-20
827,2016-06-20
827,2016-06-20
835,2016-06-13
835,2016-06-13
843,2016-05-25
845,2016-07-29
847,2016-05-17
852,2016-08-30
852,2016-08-30
854,2016-06-14
854,2016-06-14
854,2016-06-14
856,2016-07-07
874,2016-04-06
876,2016-05-18
876,2016-05-18
880,2016-04-29
880,2016-04-26
880,2016-04-26
880,2016-04-26
880,2016-04-26
884,2016-03-09
884,2016-03-09
884,2016-03-09
891,2016-05-03
892,2016-05-19
892,2016-05-19
892,2016-05-19
903,2016-06-30
917,2016-09-02
919,2016-03-30
935,2016-09-19
935,2016-09-19
935,2016-09-19
941,2016-08-04
941,2016-08-04
951,2016-04-26
951,2016-04-26
966,2016-06-09
972,2016-05-10
972,2016-05-10
984,2016-06-13
985,2016-06-14
985,2016-06-14
985,2016-06-14
994,2016-08-10
1000,2016-09-19
1002,2016-09-29
1003,2016-07-06
1005,2016-05-02
1005,2016-05-02
1005,2016-05-02
1018,2016-06-06
1036,2016-09-13
1036,2016-09-13
1102,2016-03-11
1102,2016-03-11
1111,2016-06-21
1144,2016-09-29
1144,2016-09-29
1144,2016-03-29
1144,2016-03-29
1146,2016-06-13
1146,2016-06-13
1146,2016-06-13
1146,2016-06-13
1146,2016-06-13
1151,2016-05-05
1154,2016-09-12
1154,2016-09-12
1154,2016-09-12
1154,2016-09-12
1154,2016-09-12
1156,2016-04-01
1199,2016-04-14
1199,2016-04-14
1244,2016-05-23
1244,2016-05-23
1249,2016-09-26
1318,2016-07-12
1318,2016-07-12
1322,2016-08-25
1337,2016-08-23
1339,2016-04-14
1345,2016-07-22
1345,2016-07-22
1345,2016-07-22
1351,2016-06-29
1381,2016-04-15
1396,2016-06-14
1398,2016-06-09
1426,2016-05-09
1426,2016-05-09
1427,2016-09-19
1438,2016-10-04
1438,2016-04-04
1444,2016-04-08
1454,2016-06-16
1465,2016-05-31
1482,2016-03-09
1482,2016-03-09
1508,2016-05-31
1508,2016-05-31
1515,2016-04-10
1516,2016-04-10
1517,2016-04-10
1517,2016-04-10
1526,2016-07-19
1565,2016-08-26
1565,2016-08-26
1565,2016-08-26
1566,2016-03-01
1566,2016-07-05
1571,2016-04-13
1571,2016-04-13
1579,2016-06-15
1582,2016-04-26
1582,2016-04-26
1584,2016-08-18
1584,2016-08-18
1594,2016-09-21
1594,2016-09-21
1594,2016-09-21
1594,2016-09-21
1594,2016-09-21
1595,2016-07-20
1607,2016-09-12
1607,2016-09-12
1608,2016-06-22
1609,2016-03-28
1609,2016-03-28
1617,2016-06-01
1617,2016-06-01
1617,2016-06-01
1617,2016-06-01
1619,2016-06-28
1626,2016-10-03
1631,2016-09-06
1631,2016-09-06
1631,2016-09-06
1641,2016-08-12
1641,2016-08-12
1641,2016-09-01
1641,2016-09-01
1641,2016-09-01
1674,2016-04-29
1685,2016-04-19
1685,2016-04-19
1692,2016-08-09
1692,2016-08-09
1692,2016-08-09
1703,2016-05-02
1703,2016-05-02
1710,2016-04-07
1710,2016-04-07
1724,2016-03-09
1724,2016-03-09
1724,2016-03-09
1734,2016-03-11
1734,2016-03-11
1741,2016-05-20
1753,2016-06-07
1753,2016-06-07
1757,2016-08-04
1757,2016-08-04
1768,2016-07-05
1778,2016-09-06
1791,2016-05-12
1791,2016-05-12
1791,2016-05-12
1792,2016-06-03
1792,2016-06-03
1797,2016-07-05
1815,2016-07-29
1823,2016-09-01
1823,2016-09-01
1829,2016-05-16
1830,2016-04-25
1830,2016-04-25
1833,2016-04-13
1833,2016-04-13
1833,2016-04-13
1836,2016-05-02
1837,2016-07-22
1843,2016-08-18
1843,2016-08-18
1844,2016-05-20
1852,2016-05-23
1870,2016-07-07
1870,2016-07-07
1870,2016-07-07
1880,2016-03-25
1880,2016-03-25
1894,2016-05-18
1896,2016-08-30
1896,2016-08-30
1903,2016-03-08
1903,2016-03-08
1903,2016-03-08
1921,2016-06-06
1921,2016-06-06
1922,2016-02-25
1930,2016-04-27
1930,2016-04-27
1942,2016-09-29
1942,2016-09-29
1942,2016-09-29
1942,2016-03-14
1942,2016-03-14
1950,2016-06-15
1952,2016-05-16
1959,2016-08-03
1959,2016-08-03
1968,2016-07-08
1968,2016-07-08
1968,2016-07-08
1972,2016-04-26
1972,2016-04-26
1977,2016-03-28
1989,2016-06-16
1992,2016-07-27
1992,2016-07-27
1992,2016-07-27
1992,2016-07-27
1994,2016-08-10
1994,2016-08-10
2004,2016-06-02
2008,2016-07-15
2008,2016-07-15
2012,2016-06-23
2012,2016-06-23
2027,2016-05-17
2027,2016-05-17
2031,2016-03-18
2031,2016-03-18
2039,2016-08-09
2047,2016-05-31
2050,2016-05-12
2051,2016-03-23
2055,2016-03-23
2055,2016-03-23
2057,2016-07-26
2066,2016-04-05
2066,2016-04-05
2066,2016-04-05
2070,2016-06-14
2070,2016-06-14
2070,2016-06-14
2070,2016-06-14
2094,2016-04-04
2107,2016-05-06
2107,2016-05-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2110,2016-09-06
2131,2016-06-30
2134,2016-04-20
2134,2016-04-20
2143,2016-06-09
2143,2016-06-09
2172,2016-06-15
2175,2016-07-22
2189,2016-08-16
2189,2016-08-16
2193,2016-07-12
2193,2016-07-12
2193,2016-07-12
2193,2016-07-12
2216,2016-04-07
2216,2016-04-07
2219,2016-08-16
2219,2016-08-16
2223,2016-09-21
2223,2016-09-21
2223,2016-09-21
2233,2016-05-24
2234,2016-05-31
2240,2016-05-31
2240,2016-05-31
2245,2016-04-19
2249,2016-08-26
2249,2016-08-26
2256,2016-05-18
2256,2016-05-18
2261,2016-03-30
2262,2016-03-30
2263,2016-05-18
2263,2016-05-18
2263,2016-05-18
2263,2016-05-18
2266,2016-03-16
2280,2016-08-25
2280,2016-08-25
2280,2016-08-25
2282,2016-05-10
2282,2016-05-10
2292,2016-04-14
2292,2016-04-14
2299,2016-07-19
2309,2016-09-08
2309,2016-09-08
2318,2016-06-22
2331,2016-08-23
2331,2016-08-23
2331,2016-08-23
2331,2016-08-23
2334,2016-08-22
2336,2016-08-17
2336,2016-08-17
2336,2016-03-21
2336,2016-03-21
2336,2016-03-21
2347,2016-08-29
2347,2016-06-06
2356,2016-03-10
2369,2016-03-24
2369,2016-03-24
2369,2016-03-24
2374,2016-05-24
2387,2016-06-01
2387,2016-06-01
2418,2016-07-05
2421,2016-08-22
2428,2016-09-15
2428,2016-09-15
2428,2016-09-15
2447,2016-08-22
2447,2016-08-22
2454,2016-05-19
2454,2016-05-19
2455,2016-09-19
2455,2016-03-17
2483,2016-09-07
2497,2016-06-07
2519,2016-04-13
2535,2016-08-12
2542,2016-06-03
2542,2016-06-03
2553,2016-07-22
2559,2016-06-03
2559,2016-06-03
2589,2016-03-29
2596,2016-06-09
2596,2016-06-09
2599,2016-06-14
2599,2016-06-14
2601,2016-03-10
2622,2016-05-26
2622,2016-05-26
2632,2016-07-29
2646,2016-09-08
2646,2016-09-08
2659,2016-06-14
2659,2016-06-14
2659,2016-06-14
2690,2016-05-16
2692,2016-09-23
2692,2016-08-23
2692,2016-03-30
2692,2016-03-30
2716,2016-03-23
2716,2016-03-23
2717,2016-05-12
2717,2016-05-12
2717,2016-05-12
2724,2016-09-29
2724,2016-09-29
2725,2016-05-11
2739,2016-09-19
2739,2016-09-19
2739,2016-09-19
2750,2016-06-01
2758,2016-08-23
2758,2016-08-23
2758,2016-08-23
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2764,2016-08-30
2766,2016-05-02
2766,2016-05-02
2768,2016-03-15
2768,2016-03-15
2777,2016-06-03
2778,2016-09-21
2778,2016-09-21
2785,2016-06-28
2785,2016-06-28
2785,2016-06-28
2798,2016-05-24
2798,2016-05-24
2807,2016-08-11
2808,2016-04-26
2808,2016-04-26
2808,2016-04-26
2821,2016-06-28
2836,2016-09-28
2836,2016-09-28
2841,2016-05-06
2843,2016-02-23
2854,2016-05-13
2854,2016-05-13
2866,2016-09-21
2883,2016-06-06
2885,2016-08-24
2885,2016-08-24
2902,2016-07-01
2902,2016-07-01
2917,2016-03-11
2919,2016-03-11
2919,2016-03-11
2926,2016-03-22
2933,2016-08-02
2934,2016-03-07
2934,2016-03-07
2941,2016-07-20
2941,2016-07-20
2941,2016-07-20
2941,2016-07-20
2942,2016-08-15
2942,2016-08-15
2943,2016-05-10
2943,2016-05-10
2952,2016-08-03
2955,2016-06-08
2957,2016-07-12
2969,2016-05-11
2969,2016-05-11
2970,2016-05-24
2972,2016-05-16
2972,2016-05-16
2973,2016-02-24
2974,2016-07-22
2974,2016-05-27
2980,2016-05-09
3006,2016-06-28
3006,2016-06-28
3014,2016-06-08
3016,2016-06-07
3016,2016-06-07
3016,2016-06-07
3016,2016-06-07
3019,2016-05-05
3021,2016-04-27
3025,2016-05-02
3025,2016-05-02
3029,2016-03-14
3029,2016-03-14
3029,2016-03-14
3029,2016-03-14
3031,2016-09-29
3031,2016-09-29
3031,2016-09-29
3031,2016-03-29
3038,2016-06-20
3043,2016-04-29
3046,2016-06-27
3048,2016-04-22
3050,2016-04-27
3053,2016-05-12
